		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.			Int. 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	Bar  	Lluvia	Lluvia	Calor 	Frío 	Int.	Int.	Int.	Int.  	Viento	Viento	ISS 	Arc.
10/01/15	12:05 a	26.9	27.8	26.9	68	20.5	6.4	E	0.54	19.3	SE	26.9	28.4	28.4	1007.9	0.00	0.0	0.000	0.030	34.9	42	20.1	38.2	96	8	99.0	5
10/01/15	12:10 a	26.5	26.9	26.5	68	20.1	8.0	SW	0.67	22.5	SW	26.5	27.8	27.8	1007.9	0.00	0.0	0.000	0.028	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	12:15 a	26.2	26.5	26.2	68	19.8	6.4	SE	0.54	20.9	S	26.2	27.3	27.3	1008.0	0.00	0.0	0.000	0.027	34.8	42	20.0	38.1	100	8	100.0	5
10/01/15	12:20 a	25.9	26.2	25.9	68	19.6	6.4	SE	0.54	17.7	WSW	25.9	27.1	27.1	1008.2	0.00	0.0	0.000	0.026	34.8	42	20.0	38.1	99	8	100.0	5
10/01/15	12:25 a	25.8	25.9	25.8	67	19.2	6.4	SSE	0.54	14.5	SE	25.8	26.8	26.8	1008.2	0.00	0.0	0.000	0.026	34.9	42	20.1	38.2	98	8	100.0	5
10/01/15	12:30 a	25.7	25.8	25.7	67	19.1	4.8	SE	0.40	14.5	SSE	25.7	26.7	26.7	1008.4	0.00	0.0	0.000	0.026	34.9	42	20.1	38.2	96	8	99.0	5
10/01/15	12:35 a	25.6	25.7	25.6	67	19.0	6.4	SSE	0.54	25.7	SW	25.6	26.6	26.6	1008.4	0.00	0.0	0.000	0.025	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	12:40 a	25.5	25.6	25.5	67	18.9	6.4	SE	0.54	20.9	S	25.5	26.4	26.4	1008.5	0.00	0.0	0.000	0.025	34.9	42	20.1	38.2	98	8	100.0	5
10/01/15	12:45 a	25.4	25.5	25.4	67	18.8	4.8	SE	0.40	12.9	SE	25.4	26.3	26.3	1008.5	0.00	0.0	0.000	0.024	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	12:50 a	25.3	25.4	25.3	68	19.0	6.4	SSE	0.54	22.5	WSW	25.3	26.3	26.3	1008.6	0.00	0.0	0.000	0.024	34.9	42	20.1	38.2	98	8	100.0	5
10/01/15	12:55 a	25.2	25.3	25.2	68	18.9	6.4	SSE	0.54	16.1	ESE	25.2	26.2	26.2	1008.6	0.00	0.0	0.000	0.024	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	1:00 a	25.1	25.2	25.1	69	19.0	4.8	SSW	0.40	11.3	NNE	25.1	26.1	26.1	1008.7	0.00	0.0	0.000	0.024	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	1:05 a	25.0	25.1	25.0	69	18.9	6.4	SSE	0.54	25.7	SSW	25.0	26.0	26.0	1008.7	0.00	0.0	0.000	0.023	34.9	42	20.1	38.2	98	8	100.0	5
10/01/15	1:10 a	24.9	25.0	24.9	70	19.0	4.8	SE	0.40	12.9	SSW	24.9	25.9	25.9	1008.7	0.00	0.0	0.000	0.023	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	1:15 a	24.8	24.9	24.8	70	18.9	6.4	SE	0.54	20.9	SW	24.8	25.8	25.8	1008.7	0.00	0.0	0.000	0.022	34.8	42	20.0	38.1	99	8	100.0	5
10/01/15	1:20 a	24.7	24.8	24.7	72	19.3	6.4	SSE	0.54	16.1	SSE	24.7	25.8	25.8	1008.8	0.00	0.0	0.000	0.022	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	1:25 a	24.6	24.7	24.6	72	19.2	4.8	SSE	0.40	16.1	SSE	24.6	25.7	25.7	1008.7	0.00	0.0	0.000	0.022	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	1:30 a	24.4	24.6	24.4	74	19.5	4.8	S	0.40	14.5	SSW	24.4	25.7	25.7	1008.8	0.00	0.0	0.000	0.021	34.8	42	20.0	38.1	100	8	100.0	5
10/01/15	1:35 a	24.3	24.4	24.3	74	19.4	6.4	WSW	0.54	16.1	W	24.3	25.6	25.6	1008.7	0.00	0.0	0.000	0.021	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	1:40 a	24.2	24.3	24.2	75	19.5	8.0	SSE	0.67	19.3	SSW	24.2	25.5	25.5	1008.6	0.00	0.0	0.000	0.020	34.8	42	20.0	38.1	99	8	100.0	5
10/01/15	1:45 a	24.1	24.2	24.1	75	19.3	9.7	WSW	0.80	22.5	SW	24.1	25.3	25.3	1008.6	0.00	0.0	0.000	0.020	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	1:50 a	23.9	24.1	23.9	76	19.5	4.8	SSE	0.40	14.5	SE	23.9	25.2	25.2	1008.5	0.00	0.0	0.000	0.019	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	1:55 a	23.9	24.0	23.9	76	19.4	6.4	N	0.54	16.1	SSW	23.9	25.1	25.1	1008.5	0.00	0.0	0.000	0.019	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	2:00 a	23.8	23.9	23.8	77	19.5	4.8	SSW	0.40	11.3	NW	23.8	25.0	25.0	1008.5	0.00	0.0	0.000	0.019	34.8	42	20.0	38.1	97	8	100.0	5
