                 Temp.  Temp.  Temp.  Hum.   Pto.   Vel.   Dir.   Rec.  Vel.  Dir.  Sens.   Ind.   Ind.                  Int.  Grad.D. Grad.D.  Temp.  Hum.  Rocío  In.Cal.   Muest   Tx   Recep.  Int.
  Fecha   Hora    Ext.   Máx.   Mín.  Ext.  Rocío Viento Viento Viento  Máx.  Max.  Term.  Calor   THW    Bar   Lluvia  Lluvia  Calor    Frío    Int.  Int.   Int.   Int.    Viento Viento   ISS   Arc.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 6/02/17 12:30a   16.8   17.0   16.8    80   13.4   17.7    WSW   8.85  40.2    SW   15.0   16.9   15.1  1011.5   0.00    0.0    0.031   0.000   23.2    60   15.0   23.6      596     8    100.0   30 
 6/02/17  1:00a   16.5   16.8   16.5    82   13.4   19.3    WSW   9.66  33.8   WSW   14.3   16.6   14.4  1011.4   0.00    0.0    0.038   0.000   23.2    60   15.0   23.5      598     8    100.0   30 
 6/02/17  1:30a   16.2   16.5   16.2    82   13.1   19.3    WSW   9.66  37.0   WSW   13.9   16.3   14.0  1011.7   0.00    0.0    0.044   0.000   23.1    60   14.9   23.4      599     8    100.0   30 
 6/02/17  2:00a   15.9   16.2   15.9    83   13.1   19.3      W   9.66  35.4     W   13.7   16.0   13.7  1011.7   0.00    0.0    0.050   0.000   23.1    59   14.6   23.3      595     8    100.0   30 
 6/02/17  2:30a   15.6   15.9   15.6    83   12.7   20.9    WSW  10.46  40.2   WNW   13.0   15.6   13.0  1011.8   0.00    0.0    0.057   0.000   23.0    59   14.6   23.2      599     8    100.0   30 
 6/02/17  3:00a   15.3   15.6   15.3    84   12.6   17.7    WSW   8.85  35.4     W   13.2   15.3   13.2  1011.7   0.00    0.0    0.064   0.000   22.9    59   14.5   23.2      599     8    100.0   30 
 6/02/17  3:30a   15.0   15.3   15.0    85   12.5   14.5    WSW   7.24  30.6   WSW   13.6   15.0   13.6  1011.6   0.00    0.0    0.069   0.000   22.9    59   14.5   23.1      600     8    100.0   30 
 6/02/17  4:00a   14.9   15.0   14.9    85   12.4   12.9    WSW   6.44  27.4   WSW   13.9   14.9   13.9  1011.5   0.00    0.0    0.072   0.000   22.8    59   14.4   23.0      597     8    100.0   30 
 6/02/17  4:30a   14.7   14.9   14.7    86   12.3   14.5      W   7.24  25.7     W   13.2   14.7   13.2  1011.4   0.00    0.0    0.076   0.000   22.8    59   14.3   22.9      597     8    100.0   30 
 6/02/17  5:00a   14.4   14.7   14.4    87   12.3   14.5      W   7.24  25.7     W   12.9   14.4   12.9  1011.6   0.00    0.0    0.082   0.000   22.7    59   14.3   22.9      594     8    100.0   30 
 6/02/17  5:30a   14.2   14.4   14.2    87   12.1   14.5      W   7.24  29.0   WNW   12.7   14.2   12.7  1011.8   0.00    0.0    0.086   0.000   22.6    59   14.2   22.7      599     8    100.0   30 
 6/02/17  6:00a   14.3   14.3   14.2    87   12.1   14.5    WSW   7.24  24.1     W   12.7   14.3   12.7  1011.8   0.00    0.0    0.084   0.000   22.6    59   14.1   22.6      596     8    100.0   30 
 6/02/17  6:30a   14.1   14.2   14.1    87   12.0   14.5    WSW   7.24  25.7     W   12.6   14.1   12.6  1012.0   0.00    0.0    0.088   0.000   22.5    59   14.1   22.6      596     8    100.0   30 
 6/02/17  7:00a   14.1   14.1   14.1    88   12.1   14.5    WSW   7.24  33.8   WSW   12.5   14.1   12.5  1012.4   0.00    0.0    0.089   0.000   22.5    59   14.1   22.6      597     8    100.0   30 
 6/02/17  7:30a   14.4   14.4   14.1    87   12.3   14.5    WSW   7.24  27.4     W   12.9   14.4   12.9  1012.5   0.00    0.0    0.081   0.000   22.4    59   14.0   22.4      596     8    100.0   30 
 6/02/17  8:00a   14.9   14.9   14.4    84   12.3   19.3    WSW   9.66  30.6     W   12.5   14.9   12.5  1012.9   0.00    0.0    0.071   0.000   22.4    58   13.7   22.3      597     8    100.0   30 
 6/02/17  8:30a   15.9   15.9   14.9    80   12.4   17.7    WSW   8.85  32.2   WSW   13.9   15.9   13.9  1013.1   0.00    0.0    0.051   0.000   22.4    58   13.7   22.3      598     8    100.0   30 
 6/02/17  9:00a   16.8   16.8   15.9    75   12.4   19.3     SW   9.66  32.2   SSW   14.7   16.7   14.6  1013.2   0.00    0.0    0.031   0.000   22.4    58   13.8   22.4      596     8    100.0   30 
 6/02/17  9:30a   17.3   17.3   16.8    73   12.4   19.3    SSW   9.66  37.0    SW   15.2   17.3   15.2  1013.3   0.00    0.0    0.021   0.000   22.5    58   13.8   22.5      597     8    100.0   30 
 6/02/17 10:00a   17.9   18.1   17.3    69   12.2   19.3     SW   9.66  33.8     W   15.9   17.8   15.8  1013.3   0.00    0.0    0.008   0.000   22.5    57   13.6   22.4      599     8    100.0   30 
 6/02/17 10:30a   18.6   18.6   17.9    67   12.4   19.3    SSW   9.66  32.2    SW   16.7   18.6   16.7  1013.3   0.00    0.0    0.000   0.006   22.7    57   13.8   22.8      591     8    100.0   30 
